Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,29-03-2022,1748.7,1754.1,1733,1746.65,2070000,0.29
LT,28-03-2022,1752,1755,1725.1,1741.6,1800000,-0.54
LT,25-03-2022,1775.6,1777.9,1739,1751.1,1480000,-1.15
LT,24-03-2022,1755,1779.7,1751,1771.55,1580000,0.24
LT,23-03-2022,1780,1791.55,1759.15,1767.25,1570000,-0.38
LT,22-03-2022,1756.3,1777,1721.15,1774.05,3990000,1.01
LT,21-03-2022,1805,1805,1745,1756.3,2300000,-1.77
LT,17-03-2022,1781.15,1804.6,1768.45,1787.9,3380000,1.81
LT,16-03-2022,1761,1770.65,1746.2,1756.2,2100000,0.73
LT,15-03-2022,1748,1765,1726.6,1743.45,2060000,-0.19
LT,14-03-2022,1735,1754,1715.5,1746.75,1560000,1.05
LT,11-03-2022,1720,1735.45,1705.8,1728.65,1580000,0.03
LT,10-03-2022,1740,1758,1707,1728.2,2780000,2.2
LT,09-03-2022,1676.5,1699.8,1650.05,1690.95,3310000,1.96
LT,08-03-2022,1627.9,1666,1595,1658.5,4420000,1.47
LT,07-03-2022,1658.25,1666.8,1605.55,1634.45,6320000,-4.52
LT,04-03-2022,1740,1754.05,1703,1711.75,3910000,-2.31
LT,03-03-2022,1810,1813.55,1745.55,1752.3,2260000,-1.8
LT,02-03-2022,1800,1826.95,1768.5,1784.5,3150000,-1.78
LT,28-02-2022,1764.9,1822.25,1752.8,1816.75,2550000,2.23
LT,25-02-2022,1782,1798.7,1765,1777.05,2480000,1.12
LT,24-02-2022,1783.25,1800,1751,1757.35,3620000,-3.46
LT,23-02-2022,1849,1852,1816.15,1820.3,1580000,-1.31
LT,22-02-2022,1813,1855,1800.5,1844.45,2290000,-1.05
LT,21-02-2022,1874.95,1883.9,1848.85,1863.95,1260000,-1.02
LT,18-02-2022,1870,1896,1865.15,1883.1,1910000,0.77
LT,17-02-2022,1869,1884.9,1854.1,1868.7,1460000,0.43
LT,16-02-2022,1876.05,1887.3,1842.15,1860.7,1900000,-0.82
